ADV##cpos=ADV|mwehead=NC+|s=neg|pred=y##	Adv:Neg
ADV##cpos=ADV|mwehead=P+|pred=y##	Adv:
ADV##cpos=ADV|mwehead=P+|s=ind|pred=y##	Adv:Indef
ADV##cpos=ADV|mwehead=P+|s=neg|pred=y##	Adv:Neg
ADV##cpos=ADV|mwehead=P+D+|pred=y##	Adv:
ADV##cpos=ADV|mwehead=VINF+|pred=y##	Adv:
ADV##cpos=ADV|s=neg##	Adv:Neg
ADV##cpos=ADV|s=neg|pred=y##	Adv:Neg
ADV+	Adv:
ADVWH##cpos=ADV|s=int##	Adv:Intg
AP	AP:
CC##cpos=C|mwehead=CC+|s=c|pred=y##	Conj:Coord
CC##cpos=C|s=c##	Conj:Coord
CC##cpos=C|s=c|pred=y##	Conj:Coord
CC+	Conj:Coord
CLO	Clit:Obj
CLO##cpos=CL|g=f|n=p|p=3|s=obj##	Clit:Fem+PL+P3+Obj
CLO##cpos=CL|g=f|n=s|p=3|s=obj##	Clit:Fem+SG+P3+Obj
CLO##cpos=CL|g=m|n=p|p=1|s=obj##	Clit:Mas+PL+P1+Obj
CLO##cpos=CL|g=m|n=p|p=3|s=obj##	Clit:Mas+PL+P3+Obj
CLO##cpos=CL|g=m|n=s|p=3|s=obj##	Clit:Mas+SG+P3+Obj
CLO##cpos=CL|mwehead=ADV+|p=3|s=obj|pred=y##	Clit:+P3+Obj
CLO##cpos=CL|p=3|s=obj|pred=y##	Clit:+P3+Obj
CLR	Clit:Refl
CLR##cpos=CL|g=f|n=p|p=3|s=refl##	Clit:Fem+PL+P3+Refl
CLR##cpos=CL|g=f|n=s|p=3|s=refl##	Clit:Fem+SG+P3+Refl
CLR##cpos=CL|g=m|n=p|p=3|s=refl##	Clit:Mas+PL+P3+Refl
CLR##cpos=CL|g=m|n=s|p=3|s=refl##	Clit:Mas+SG+P3+Refl
CLS	Clit:Subj
CLS##cpos=CL|mwehead=ADV+|n=s|p=3|s=suj|pred=y##	Clit:SG+P3+Subj
CLS##cpos=CL|mwehead=CC+|n=s|p=3|s=suj|pred=y##	Clit:SG+P3+Subj
CLS##cpos=CL|mwehead=P+|n=s|p=3|s=suj|pred=y##	Clit:SG+P3+Subj
CLS##cpos=CL|mwehead=V+|n=s|p=3|s=suj|pred=y##	Clit:SG+P3+Subj
CLS##cpos=CL|n=s|p=3|s=suj##	Clit:SG+P3+Subj
COORD	COORD:
CS##cpos=C|mwehead=ADV+|s=s|pred=y##	Conj:Sub
CS##cpos=C|mwehead=CS+|s=s|pred=y##	Conj:Sub
CS##cpos=C|s=s##	Conj:Sub
CS##cpos=C|s=s|pred=y##	Conj:Sub
CS+	Conj:Sub
DET##cpos=D|g=f|mwehead=ADV+|n=s|s=def|pred=y##	Det:Fem+SG+Def
DET##cpos=D|g=f|mwehead=ADV+|n=s|s=ind|pred=y##	Det:Fem+SG+Indef
DET##cpos=D|g=f|mwehead=DET+|n=s|s=def|pred=y##	Det:Fem+SG+Def
DET##cpos=D|g=f|mwehead=DET+|n=s|s=ind|pred=y##	Det:Fem+SG+Indef
DET##cpos=D|g=f|mwehead=NPP+|n=s|s=def|pred=y##	Det:Fem+SG+Def
DET##cpos=D|g=f|mwehead=NPP+|n=s|s=ind|pred=y##	Det:Fem+SG+Indef
DET##cpos=D|g=f|mwehead=NPP+|n=s|s=poss|pred=y##	Det:Fem+SG+Pos
DET##cpos=D|g=f|n=p|p=1|s=poss##	Det:Fem+PL+P1+Pos
DET##cpos=D|g=f|n=p|p=2|s=poss##	Det:Fem+PL+P2+Pos
DET##cpos=D|g=f|n=p|p=3|s=poss##	Det:Fem+PL+P3+Pos
DET##cpos=D|g=f|n=p|s=card##	Det:Fem+PL+Card
DET##cpos=D|g=f|n=p|s=def##	Det:Fem+PL+Def
DET##cpos=D|g=f|n=p|s=dem##	Det:Fem+PL+Dem
DET##cpos=D|g=f|n=p|s=ind##	Det:Fem+PL+Indef
DET##cpos=D|g=f|n=s|p=3|s=poss##	Det:Fem+SG+P3+Pos
DET##cpos=D|g=f|n=s|s=card##	Det:Fem+SG+Card
DET##cpos=D|g=f|n=s|s=def##	Det:Fem+SG+Def
DET##cpos=D|g=f|n=s|s=def|pred=y##	Det:Fem+SG+Def
DET##cpos=D|g=f|n=s|s=dem##	Det:Fem+SG+Dem
DET##cpos=D|g=f|n=s|s=ind##	Det:Fem+SG+Indef
DET##cpos=D|g=f|n=s|s=ind|pred=y##	Det:Fem+SG+Indef
DET##cpos=D|g=f|n=s|s=neg##	Det:Fem+SG+Neg
DET##cpos=D|g=m|mwehead=ADV+|n=s|s=def|pred=y##	Det:Mas+SG+Def
DET##cpos=D|g=m|mwehead=ADV+|n=s|s=ind|pred=y##	Det:Mas+SG+Indef
DET##cpos=D|g=m|mwehead=DET+|n=s|s=ind|pred=y##	Det:Mas+SG+Indef
DET##cpos=D|g=m|mwehead=NC+|n=s|s=def|pred=y##	Det:Mas+SG+Def
DET##cpos=D|g=m|mwehead=NPP+|n=s|s=def|pred=y##	Det:Mas+SG+Def
DET##cpos=D|g=m|n=p|p=1|s=poss##	Det:Mas+PL+P1+Pos
DET##cpos=D|g=m|n=p|p=3|s=poss##	Det:Mas+PL+P3+Pos
DET##cpos=D|g=m|n=p|s=card##	Det:Mas+PL+Card
DET##cpos=D|g=m|n=p|s=def##	Det:Mas+PL+Def
DET##cpos=D|g=m|n=p|s=dem##	Det:Mas+PL+Dem
DET##cpos=D|g=m|n=p|s=ind##	Det:Mas+PL+Indef
DET##cpos=D|g=m|n=s|p=2|s=poss##	Det:Mas+SG+P2+Pos
DET##cpos=D|g=m|n=s|p=3|s=poss##	Det:Mas+SG+P3+Pos
DET##cpos=D|g=m|n=s|s=card##	Det:Mas+SG+Card
DET##cpos=D|g=m|n=s|s=def##	Det:Mas+SG+Def
DET##cpos=D|g=m|n=s|s=def|pred=y##	Det:Mas+SG+Def
DET##cpos=D|g=m|n=s|s=dem##	Det:Mas+SG+Dem
DET##cpos=D|g=m|n=s|s=dem|pred=y##	Det:Mas+SG+Dem
DET##cpos=D|g=m|n=s|s=ind##	Det:Mas+SG+Indef
DET##cpos=D|g=m|n=s|s=ind|pred=y##	Det:Mas+SG+Indef
