VPP##cpos=V|g=m|m=part|n=s|t=past##	Ver:PPas+Mas+SG
VPP##cpos=V|g=m|m=part|n=s|t=past|pred=y##	Ver:PPas+Mas+SG
VPP##cpos=V|m=part|mwehead=NC+|t=past|pred=y##	Ver:PPas
VPP+	Ver:PPas
VPpart	VP:Part
VPR##cpos=V|m=part|t=pst##	Ver:PPre
VPR##cpos=V|m=part|t=pst|pred=y##	Ver:PPre
VS##cpos=V|m=subj|n=p|p=3|t=pst##	Ver:SPre+PL+P3
VS##cpos=V|m=subj|n=s|p=1|t=pst##	Ver:SPre+SG+P1
VS##cpos=V|m=subj|n=s|p=3|t=impft##	Ver:SPre+SG+P3
VS##cpos=V|m=subj|n=s|p=3|t=pst##	Ver:SPre+SG+P3
